Timestamp,Please upload an image of the art. Aspect ratios of 4:3 are preferred (and high-res) but any art is great! If you're getting this art from instagram we recommend https://ingramer.com/tools/instagram-photo-downloader/,What is the name of the artist?,Link where we can find this work online,Anything else you'd like us to know?,I certify that this work is by a Black artist.,What is the name of this piece? (Untitled if there is no name),The artist's online portfolio or Instagram handle - if possible (i.e. https://www.instagram.com/kerryjamesmarshs/),Artist Bio
6/14/20 13:06,https://drive.google.com/open?id=1lFHEGAEDshZ4CL1R72w_tDDGdnC7lUKr,Alvin Baltrop,https://www.interviewmagazine.com/art/alvin-baltrop-bronx-museum,,Yes,The Piers (exterior with 2 figures),,Alvin Baltrop was an American photographer. Baltrop's work focused on the dilapidated Hudson River piers and gay men during the 1970s and 1980s prior to the AIDS crisis.
6/14/20 13:07,https://drive.google.com/open?id=1Cxexx7RHBp9LBcJ5lRHLRvZN_6H8xhIP,Alvin Baltrop,https://www.interviewmagazine.com/art/alvin-baltrop-bronx-museum,,Yes,The Piers (sunbathing platform with Tava mural),,Alvin Baltrop was an American photographer. Baltrop's work focused on the dilapidated Hudson River piers and gay men during the 1970s and 1980s prior to the AIDS crisis.
6/14/20 13:08,https://drive.google.com/open?id=16frt8PW1jckKOhJ8iAnYnYAttg4NE74U,Alvin Baltrop,https://www.interviewmagazine.com/art/alvin-baltrop-bronx-museum,,Yes,"Pier 52 (Gordon Matta-Clark's ""Day's End"")",,Alvin Baltrop was an American photographer. Baltrop's work focused on the dilapidated Hudson River piers and gay men during the 1970s and 1980s prior to the AIDS crisis.
6/14/20 13:09,https://drive.google.com/open?id=1nBWfZXjhpmdysrn3xzN3NEYX964ssRpy,Alvin Baltrop,https://www.interviewmagazine.com/art/alvin-baltrop-bronx-museum,,Yes,Marsha P. Johnson,,Alvin Baltrop was an American photographer. Baltrop's work focused on the dilapidated Hudson River piers and gay men during the 1970s and 1980s prior to the AIDS crisis.
6/29/20 17:39,https://drive.google.com/open?id=1ZiT_PGdqLp5jN_f_yE9HnYjnsb0EhxRx,Antuan Byers (photographed by Amanda Wu),https://www.antuanbyers.com/photos#28,,Yes,28,https://www.instagram.com/antuanbyers/,"Antuan Byers (Dallas, Tx) recently graduated cum laude from the Ailey/Fordham BFA Program with departmental honors in Dance. He holds a Certificate of Fashion from the Parsons School of Design and is an alumnus of Booker T. Washington High School for the Performing and Visual Arts (BTWHSPVA), under the direction of Lily Weiss. "
6/29/20 17:38,https://drive.google.com/open?id=1NVizYnS2rqDFnRUvGZKLU_I4XEQNHccE,Antuan Byers (photographed by Mark Wickens),https://www.antuanbyers.com/photos#10,,Yes,10,https://www.instagram.com/antuanbyers/,"Antuan Byers (Dallas, Tx) recently graduated cum laude from the Ailey/Fordham BFA Program with departmental honors in Dance. He holds a Certificate of Fashion from the Parsons School of Design and is an alumnus of Booker T. Washington High School for the Performing and Visual Arts (BTWHSPVA), under the direction of Lily Weiss. "
6/29/20 17:35,https://drive.google.com/open?id=16DExVEL04qoOznQzLWrEKkTdGtF-50VT,Antuan Byers (photographed by Nicki Bosch),https://www.antuanbyers.com/photos#2,,Yes,2,https://www.instagram.com/antuanbyers/,"Antuan Byers (Dallas, Tx) recently graduated cum laude from the Ailey/Fordham BFA Program with departmental honors in Dance. He holds a Certificate of Fashion from the Parsons School of Design and is an alumnus of Booker T. Washington High School for the Performing and Visual Arts (BTWHSPVA), under the direction of Lily Weiss. "
6/29/20 17:34,https://drive.google.com/open?id=14EOjzRlbpQ6ObkFFLxvJFgSslk9jDZ4s,Antuan Byers (photographed by Tom Marvel),https://www.antuanbyers.com/photos#0,,Yes,0,https://www.instagram.com/antuanbyers/,"Antuan Byers (Dallas, Tx) recently graduated cum laude from the Ailey/Fordham BFA Program with departmental honors in Dance. He holds a Certificate of Fashion from the Parsons School of Design and is an alumnus of Booker T. Washington High School for the Performing and Visual Arts (BTWHSPVA), under the direction of Lily Weiss. "
6/29/20 17:35,https://drive.google.com/open?id=1oBSuYu_vN0XQpZmM2Wbw0HEfp7LW9nbK,Antuan Byers (photographed by Tom Marvel),https://www.antuanbyers.com/photos#4,,Yes,4,https://www.instagram.com/antuanbyers/,"Antuan Byers (Dallas, Tx) recently graduated cum laude from the Ailey/Fordham BFA Program with departmental honors in Dance. He holds a Certificate of Fashion from the Parsons School of Design and is an alumnus of Booker T. Washington High School for the Performing and Visual Arts (BTWHSPVA), under the direction of Lily Weiss. "
6/29/20 17:36,https://drive.google.com/open?id=1i-__k_d7BAJlkmfbFx1QIOEi6okmgEeP,Antuan Byers (photographed by Tom Marvel),https://www.antuanbyers.com/photos#5,,Yes,5,https://www.instagram.com/antuanbyers/,"Antuan Byers (Dallas, Tx) recently graduated cum laude from the Ailey/Fordham BFA Program with departmental honors in Dance. He holds a Certificate of Fashion from the Parsons School of Design and is an alumnus of Booker T. Washington High School for the Performing and Visual Arts (BTWHSPVA), under the direction of Lily Weiss. "
