Timestamp,Category,Title,URL to resource,Resource author,Your name (optional),Your contact info (optional),Extra notes
6/13/2020 10:43:00,Petition,Stop ICE from poisoning immigrants,https://www.change.org/p/change-org-stop-ice-from-poisoning-immigrants?recruiter=1094886887&utm_source=share_petition&utm_medium=twitter&utm_campaign=psf_combo_share_abi&utm_term=psf_combo_share_initial&recruited_by_id=47247460-a0ce-11ea-8dcd-9fcf88ebf4c8,,,,
6/13/2020 10:43:18,Petition,Reopen Kendrick Johnson's case,https://www.change.org/p/united-states-supreme-court-justice-for-kendrick-johnson?utm_content=cl_sharecopy_20065167_en-US%3Av4&recruiter=1108286952&recruited_by_id=5be1ac10-a68c-11ea-a240-2799493cd5bb&utm_source=share_petition&utm_medium=copylink&utm_campaign=psf_combo_share_initial&utm_term=psf_combo_share_message,,,,
6/13/2020 10:43:44,Petition,Address Collins Khosa's death,https://www.change.org/p/president-cyril-ramaphosa-the-president-to-address-the-death-of-collins-khosa-at-the-hands-of-law-enforcement?utm_content=cl_sharecopy_22495195_en-GB%3Av10&recruiter=1096957640&recruited_by_id=b90099f0-a188-11ea-84ba-99b954137010&utm_source=share_petition&utm_medium=copylink&utm_campaign=psf_combo_share_abi&utm_term=psf_combo_share_abi,,,,
6/13/2020 10:45:50,Donation fund,The Innocence Project,https://www.innocenceproject.org/,,,,
6/13/2020 10:46:10,Donation fund,My Block My Hood My City,https://www.formyblock.org/,,,,
6/13/2020 10:46:29,Donation fund,Black Trans Travel Fund,https://devinmichaellowe.com/black-trans-travel-fund,,,,
6/13/2020 10:47:34,"Learning resource (book or article or instagram post or twitter post etc)",Push back against #8cantwait,https://www.instagram.com/p/CA_-_vgDukS/,,,,
6/13/2020 10:48:24,"Learning resource (book or article or instagram post or twitter post etc)",Learn about laws that continue to segregate NYC public schools,https://www.instagram.com/p/CBTqQ3jFz0B/,,,,
6/13/2020 10:48:48,"Learning resource (book or article or instagram post or twitter post etc)",Public safety and feminist alternatives to policing and prisons,https://www.instagram.com/p/CBPN419D38n/,,,,
,Petition,Julius Jones,https://www.change.org/p/julius-jones-is-innocent-don-t-let-him-be-executed-by-the-state-of-oklahoma,,,,
,Petition,Belly Mujinga,https://www.change.org/p/govia-thameslink-justice-for-belly-mujinga-justiceforbellymujinga,,,,
,Petition,Regis Korchinski-Paquet,https://www.change.org/p/justice-for-regis-korchinski-paquet,,,,
,Petition,Ahmaud Arbery,https://www.change.org/p/governor-brian-kemp-justice-for-ahmaud-arbery,,,,
,Petition,Ahmaud Arbery (2),https://www.change.org/p/federal-bureau-of-investigation-disbarment-of-george-e-barnhill,,,,
,Petition,Tony McDade,https://www.change.org/p/justice-for-tony-mcdade,,,,
,Petition,Joāo Pedro,https://www.change.org/p/prefeitura-do-rio-de-janeiro-justice-for-jo%C4%81o-pedro,,,,
,Petition,Breonna Taylor,https://www.change.org/p/andy-beshear-justice-for-breonna-taylor,,,,
,Petition,Willie Simmons,https://www.change.org/p/alabama-governor-kay-ivey-willie-simmons-has-served-38-years-for-a-9-robbery,,,,
,Petition,Kendrick Johnson,https://www.change.org/p/united-states-supreme-court-justice-for-kendrick-johnson,,,,
,Petition,Hands Up Act,https://www.change.org/p/us-senate-hands-up-act,,,,
,Petition,Jefferson Elie,https://www.change.org/p/reform-alliance-freejeffersonelie,,,,
,Petition,Anthony Wint,https://www.change.org/p/ron-desantis-free-anthony-wint-fbc27c7c-920d-4104-9960-a234f45cbe20,,,,
,Petition,Tamir Rice,https://www.change.org/p/department-of-justice-investigate-the-killing-of-tamir-rice,,,,
,Petition,Emerald Black,https://www.change.org/p/san-leandro-police-deartment-justice-for-emerald-black,,,,
,Petition,Amiya Braxton,https://www.change.org/p/bre-jackson-justice-for-amiya-braxton,,,,
,Petition,Jennifer Jeffley,https://www.change.org/p/gregg-abbott-justice-for-jennifer-jeffley,,,,
,Petition,Eric Jack Logan,https://www.change.org/p/st-joseph-county-prosecutor-ken-cotter-outside-investigation-im-the-officer-involved-shooting-of-eric-jack-logan,,,,
